image,damage_id,damage_type,damage_name_ko,pixel_nodes_json,world_center_x_m,world_center_y_m,world_center_z_m,length_px,length_m,width_px,width_m,area_m2,source_image_path,tile_original_paths_json,tile_overlay_paths_json
DJI_20260826102236_0200_V.JPG,D013557,SPL,박락,"[[3847.5,3605.0],[3847.0,3604.5],[3846.5,3604.0],[3846.0,3603.5],[3845.5,3603.0],[3845.5,3602.0],[3845.0,3601.5]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x03584_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x03584_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013558,SPL,박락,"[[3863.0,3600.5],[3862.5,3601.0],[3862.5,3602.0],[3862.5,3603.0],[3862.0,3603.5],[3861.0,3603.5],[3860.0,3603.5],[3859.5,3604.0]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x03584_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x03584_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013559,SPL,박락,"[[0.0,3600.0]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x00000_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x00000_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013560,SPL,박락,"[[549.0,3600.0],[549.0,3601.0],[549.0,3602.0]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x00512_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x00512_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013561,SPL,박락,"[[2088.0,3600.0]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x02048_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x02048_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013562,SPL,박락,"[[2499.0,3600.5],[2498.0,3600.5],[2497.0,3600.5],[2496.0,3600.5],[2495.5,3601.0]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x02048_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x02048_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013563,SPL,박락,"[[2974.0,3600.0],[2975.0,3600.0],[2976.0,3600.0]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x02560_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x02560_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013564,SPL,박락,"[[4570.0,3600.0],[4571.0,3600.0]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x04096_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x04096_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013565,SPL,박락,"[[4606.0,3603.5],[4605.5,3604.0]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x04096_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x04096_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013566,SPL,박락,"[[4604.5,3617.0],[4604.5,3616.0],[4604.0,3615.5]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x04096_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x04096_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013567,SPL,박락,"[[4570.5,3613.0],[4571.0,3613.5],[4572.0,3613.5]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x04096_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x04096_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013568,SPL,박락,"[[4546.0,3617.0]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x04096_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x04096_y03584.png""]"
DJI_20260826102236_0200_V.JPG,D013569,SPL,박락,"[[2100.0,3620.5],[2101.0,3620.5],[2101.5,3620.0]]",,,,,,,,,원본사진/DJI_20260826102236_0200_V.JPG,"[""512원본타일/DJI_20260826102236_0200_V__x02048_y03584.png""]","[""512모델예측오버레이/DJI_20260826102236_0200_V__x02048_y03584.png""]"
